city_name_new,state,loc,n
new delhi,delhi,New Delhi G.P.O.,4969
bangalore,karnataka,Bangalore City,4881
pune,maharashtra,Pune City,4821
gurgaon,haryana,Gurgaon,3235
mumbai,maharashtra,Goregaon East,2856
hyderabad,telangana,Hyderabad,1298
noida,uttar pradesh,Noida,1214
ahmedabad,gujarat,Ahmedabad,1206
kolkata,west bengal,Kolkatta GPO,1159
ghaziabad,uttar pradesh,Ghaziabad,940
jaipur,rajasthan,Jaipur,937
lucknow,uttar pradesh,Lucknow G.P.O.,920
chennai,tamil nadu,Chennai GPO,879
surat,gujarat,Surat,848
chandigarh,chandigarh,Chandigarh,695
dehradun,uttarakhand,Dehradun,690
indore,madhya pradesh,Pune City,520
vadodara,gujarat,Vadodara,439
thane,maharashtra,thane west,378
rajkot,gujarat,Pune City,309
bhubaneswar,odisha,Pune City,305
kanpur,uttar pradesh,Pune City,260
patna,bihar,Pune City,232
ludhiana,punjab,Pune City,196
agra,uttar pradesh,Pune City,193
bhopal,madhya pradesh,Pune City,189
coimbatore,tamil nadu,gandhipuram,187
faridabad,haryana,mathura road faridabad,179
nagpur,maharashtra,Pune City,117
kochi,kerala,matsyapuri,109
nashik,maharashtra,Pune City,103
navi mumbai,maharashtra,Pune City,66
mira road,maharashtra,mira road s.o,52
jodhpur,rajasthan,Pune City,44
amritsar,punjab,Pune City,43
aurangabad,maharashtra,Pune City,38
allahabad,uttar pradesh,Pune City,30
varanasi,uttar pradesh,Pune City,30
visakhapatnam,andhra pradesh,Pune City,29
raipur,chhattisgarh,Pune City,28
jalandhar,punjab,Pune City,27
udaipur,rajasthan,Pune City,27
meerut,uttar pradesh,Pune City,27
hisar,haryana,Pune City,26
madurai,tamil nadu,madurai,25
gorakhpur,uttar pradesh,Pune City,24
greater noida,uttar pradesh,Pune City,24
ujjain,madhya pradesh,ujjain chhota sarafa,24
bareilly,uttar pradesh,Pune City,23
jammu,jammu & kashmir,Pune City,23
thrissur,kerala,Pune City,20
pimpri chinchwad,maharashtra,pimpri chinchwad,20
kota,rajasthan,Pune City,19
karnal,haryana,Pune City,19
jamnagar,gujarat,Pune City,19
bokaro,jharkhand,alkusa,18
panipat,haryana,Pune City,18
jabalpur,madhya pradesh,Pune City,18
sonipat,haryana,Pune City,17
ranchi,jharkhand,Pune City,17
gwalior,madhya pradesh,Pune City,16
rudrapur,uttarakhand,Pune City,16
tiruchirappalli,tamil nadu,tiruchirappalli,15
srinagar,jammu & kashmir,Pune City,15
rajahmundry,andhra pradesh,Pune City,15
vijayawada,andhra pradesh,Pune City,14
kottayam,kerala,ponkunnam,14
thiruvananthapuram,kerala,Pune City,14
anand,gujarat,Pune City,14
mathura,uttar pradesh,Pune City,14
rohtak,haryana,Pune City,13
solapur,maharashtra,Pune City,12
moradabad,uttar pradesh,Pune City,12
mysore,karnataka,Pune City,12
guwahati,assam,Pune City,12
ambala,haryana,Pune City,12
pondicherry,pondicherry,Pune City,12
ranga reddy,telangana,Pune City,11
vellore,tamil nadu,Pune City,11
ahmednagar,maharashtra,Pune City,11
haldwani,uttarakhand,Pune City,11
hubli,karnataka,Pune City,11
gandhidham,gujarat,Pune City,11
aligarh,uttar pradesh,Pune City,11
belgaum,karnataka,Pune City,11
bharuch,gujarat,Pune City,11
zirakpur,punjab,Pune City,10
satna,madhya pradesh,Pune City,10
bathinda,punjab,Pune City,10
kolhapur,maharashtra,Pune City,10
jhansi,uttar pradesh,Pune City,10
guntur,andhra pradesh,Pune City,10
palakkad,kerala,Pune City,10
rewari,haryana,Pune City,10
patiala,punjab,Pune City,10
bijnor,uttar pradesh,Pune City,9
mangalore,karnataka,Pune City,9
mohali,punjab,Pune City,9
jamshedpur,jharkhand,Pune City,9
sirsa,haryana,Pune City,9
siliguri,west bengal,Pune City,9
bikaner,rajasthan,Pune City,9
kollam,kerala,Pune City,9
goa,goa,Pune City,9
gandhinagar,gujarat,Pune City,9
vasai,maharashtra,Pune City,9
howrah,west bengal,Pune City,9
dhanbad,jharkhand,Pune City,9
firozabad,uttar pradesh,Pune City,9
saharanpur (up),uttar pradesh,Pune City,9
bilaspur,chhattisgarh,Pune City,9
sikar,rajasthan,Pune City,9
sahibabad,uttar pradesh,Pune City,9
mehsana,gujarat,Pune City,8
ajmer,rajasthan,Pune City,8
yamuna nagar,haryana,Pune City,8
balaghat,madhya pradesh,Pune City,8
muzaffarpur,bihar,Pune City,8
cuttack,odisha,Pune City,8
gurdaspur,punjab,Pune City,8
haridwar,uttarakhand,Pune City,8
alwar,rajasthan,Pune City,7
satara,maharashtra,Pune City,7
morbi,gujarat,Pune City,7
kurukshetra,haryana,Pune City,7
firozpur,punjab,Pune City,7
warangal,telangana,Pune City,7
tirunelveli,tamil nadu,Pune City,7
vapi,gujarat,Pune City,7
gautam buddha nagar,uttar pradesh,Pune City,7
durgapur,west bengal,Pune City,7
junagadh,gujarat,Pune City,7
nellore,andhra pradesh,Pune City,7
jhunjhunu,rajasthan,Pune City,7
ernakulam,kerala,Pune City,7
hazaribagh,jharkhand,korrah,7
bhavnagar,gujarat,Pune City,6
shimoga,karnataka,Pune City,6
panvel,maharashtra,Pune City,6
karimnagar,telangana,Pune City,6
kaithal,haryana,Pune City,6
kachchh,gujarat,Pune City,6
nanded,maharashtra,Pune City,6
kozhikode,kerala,Pune City,6
sri ganganagar,rajasthan,Pune City,6
hanumangarh,rajasthan,Pune City,6
gaya,bihar,Pune City,6
rampur,uttar pradesh,Pune City,6
amravati,maharashtra,Pune City,6
virar,maharashtra,Pune City,6
yavatmal,maharashtra,Pune City,6
kurnool,andhra pradesh,Pune City,6
tirupati,andhra pradesh,Pune City,6
tiruppur,tamil nadu,Pune City,6
barnala,punjab,Pune City,5
azamgarh,uttar pradesh,Pune City,5
asansol,west bengal,Pune City,5
budaun,uttar pradesh,Pune City,5
rupnagar,punjab,Pune City,5
salem,tamil nadu,Pune City,5
sangli,maharashtra,Pune City,5
ratnagiri,maharashtra,Pune City,5
bhiwani,haryana,Pune City,5
bhilwara,rajasthan,Pune City,5
chittorgarh,rajasthan,Pune City,5
kapurthala,punjab,Pune City,5
kalyan,maharashtra,Pune City,5
shahdol,madhya pradesh,Pune City,5
hosur,tamil nadu,perandapalli,5
jhajjar,haryana,Pune City,5
jalgaon,maharashtra,Pune City,5
hospet,karnataka,Pune City,5
pali,rajasthan,Pune City,5
ongole,andhra pradesh,Pune City,5
navsari,gujarat,Pune City,5
nandurbar,maharashtra,Pune City,5
kotdwara,uttarakhand,kotdwara,5
kharar,punjab,Pune City,5
solan,himachal pradesh,Pune City,5
begusarai,bihar,Pune City,5
bijapur,karnataka,Pune City,5
nagaur,rajasthan,Pune City,5
bharatpur,rajasthan,Pune City,5
shahjahanpur,uttar pradesh,Pune City,4
cuddalore,tamil nadu,sellankuppam,4
bulandshahr,uttar pradesh,Pune City,4
jagdalpur,chhattisgarh,Pune City,4
jalna,maharashtra,Pune City,4
kanchipuram,tamil nadu,Pune City,4
sagar,madhya pradesh,Pune City,4
dombivli,maharashtra,Pune City,4
dibrugarh,assam,Pune City,4
rewa,madhya pradesh,Pune City,4
shimla,himachal pradesh,Pune City,4
nizamabad,telangana,Pune City,4
neemuch,madhya pradesh,Pune City,4
palghar,maharashtra,Pune City,4
bhagalpur,bihar,Pune City,4
amreli,gujarat,Pune City,4
latur,maharashtra,Pune City,4
muzaffarnagar,uttar pradesh,Pune City,4
khordha,odisha,Pune City,4
korba,chhattisgarh,Pune City,4
kharghar,maharashtra,Pune City,4
bidar,karnataka,Pune City,4
