variant_name,brand_name,model_new,oem_name,car_segment,body_type_new,bt,fuel_type_new,transmission_type_new,engine_cc,engine_capacity_new,Engine Type,Value Configuration,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Fuel Suppy System,Color,exterior_color,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Turning Radius,No Door Numbers,Cargo Volumn,seating_capacity_new,max_engine_capacity_new,min_engine_capacity_new,mileage_new,top_features_count,comfort_features_count,interior_features_count,exterior_features_count,safety_features_count,listing_count
ashok leyland stile le,ashok leyland,Ashok Leyland Stile,ashok leyland,MUV,MUV cars,MUV,diesel,manual,1000cc-2000cc,1000cc-2000cc,Intercooled Diesel Engine,DOHC,Yes,No,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial ",COMMON RAIL ,White,White,1461.0,75.0,185.0,4.0,4.0,4400.0,1700.0,1860.0,2725.0,5.2,5.0,350.0,8.0,1461.0,1461.0,20.07,9.0,4.0,9.0,5.0,14.0,1
aston martin vantage v8 4.7l,aston martin,Aston Martin Vantage,aston martin,Coupe,Coupe cars,Coupe,petrol,automatic,4000cc-5000cc,4000cc-5000cc,V8 Petrol Engine,DOHC,No,No,6-Speed,RWD,Power,Ventilated & Grooved Steel Discs,Ventilated & Grooved Steel Discs,"Tubeless,Radial",DIRECT INJECTION,Orange,Orange,4735.0,420.0,470.0,8.0,4.0,4380.0,2025.0,1255.0,2600.0,5.55,2.0,300.0,2.0,4735.0,4735.0,9.6,9.0,16.0,12.0,11.0,27.0,1
audi a3 35 tdi attraction,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,White,White,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,13.0,10.0,29.0,1
audi a3 35 tdi premium,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",CRDI,Glacier white Metallic,Glacier white Metallic,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,14.0,13.0,30.0,6
audi a3 35 tdi premium plus,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",CRDI,White,White,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,14.0,14.0,30.0,28
audi a3 35 tdi technology,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",CRDI,Blue,Blue,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,14.0,14.0,30.0,7
audi a3 35 tfsi premium,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",DIRECT INJECTION,Blue,Blue,1395.0,150.0,250.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1395.0,1395.0,19.8,9.0,19.0,14.0,14.0,30.0,1
audi a3 35 tfsi premium plus,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Blue,Blue,1395.0,150.0,250.0,4.0,4.0,4458.0,1796.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1395.0,1395.0,19.2,9.0,27.0,14.0,17.0,32.0,3
audi a3 35 tfsi technology,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1395.0,150.0,250.0,4.0,4.0,4458.0,1796.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1395.0,1395.0,19.2,9.0,27.0,14.0,17.0,32.0,1
audi a3 40 tfsi premium plus,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine ,DOHC,Yes,No,7 Speed S Tronic,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",DIRECT INJECTION,Brown,Brown,1798.0,177.5,250.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1798.0,1798.0,16.6,9.0,20.0,13.0,13.0,29.0,2
audi a3 cabriolet 40 tfsi premium plus,audi,Audi A3 cabriolet,audi,Convertibles,Convertibles cars,Convertibles,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Glacier white Metallic,Glacier white Metallic,1798.0,177.0,250.0,4.0,4.0,4421.0,1960.0,1409.0,2595.0,5.45,2.0,320.0,4.0,1798.0,1798.0,16.6,9.0,19.0,14.0,13.0,27.0,3
audi a4 1.8 tfsi,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,In-Line Engine,DOHC,No,Yes,7 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless,Radial",MPFI,Black,Black,1781.0,163.2,22.9,4.0,5.0,4.0,1.0,1.0,2.0,5.55,4.0,350.0,5.0,1781.0,1781.0,12.3,9.0,17.0,12.0,12.0,20.0,7
audi a4 1.8 tfsi multitronic,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Black,Black,1798.0,167.62,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1798.0,1798.0,15.64,9.0,21.0,13.0,14.0,30.0,3
audi a4 1.8 tfsi premium plus,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Brown,Brown,1798.0,167.62,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1798.0,1798.0,15.64,9.0,21.0,13.0,13.0,30.0,3
audi a4 1.8 tfsi technology edition,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Blue,Blue,1798.0,167.62,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1798.0,1798.0,15.64,9.0,23.0,13.0,13.0,31.0,1
audi a4 2.0 tdi,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1968.0,147.51,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,11.5,4.0,480.0,5.0,1968.0,1968.0,16.55,9.0,18.0,12.0,13.0,28.0,33
audi a4 2.0 tdi celebration edition,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1968.0,147.51,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,11.5,4.0,480.0,5.0,1968.0,1968.0,16.55,9.0,18.0,12.0,13.0,28.0,1
